Date;2017;2018;2019;2020
01.01.2020;;13;14;7
02.01.2020;;9;15;8
03.01.2020;;4;14;10
04.01.2020;;7;14;13
05.01.2020;;11;11;7
06.01.2020;;6;11;10
07.01.2020;;7;11;7
08.01.2020;;10;9;12
09.01.2020;;5;13;10
10.01.2020;;9;17;10
11.01.2020;;10;11;8
12.01.2020;;7;12;13
13.01.2020;;7;14;17
14.01.2020;;4;12;9
15.01.2020;;3;8;6
16.01.2020;;7;16;12
17.01.2020;;4;15;9
18.01.2020;;8;14;10
19.01.2020;;5;11;10
20.01.2020;;6;7;11
21.01.2020;;6;3;7
22.01.2020;;8;11;10
23.01.2020;;4;11;12
24.01.2020;;1;10;7
25.01.2020;;13;20;10
26.01.2020;;6;13;16
27.01.2020;;5;9;13
28.01.2020;;8;14;14
29.01.2020;;7;9;6
30.01.2020;;10;16;15
31.01.2020;;9;12;9
01.02.2020;;11;11;11
02.02.2020;;9;9;12
03.02.2020;;7;19;13
04.02.2020;;9;7;16
05.02.2020;;9;7;15
06.02.2020;;6;13;14
07.02.2020;;4;8;14
08.02.2020;4;6;13;12
09.02.2020;5;8;8;11
10.02.2020;7;6;13;15
11.02.2020;4;8;13;11
12.02.2020;2;8;10;10
13.02.2020;8;6;5;10
14.02.2020;6;7;10;12
15.02.2020;9;5;6;12
16.02.2020;7;4;10;14
17.02.2020;7;5;10;7
18.02.2020;8;9;4;11
19.02.2020;6;8;9;9
20.02.2020;4;6;10;15
21.02.2020;7;5;6;9
22.02.2020;5;11;11;18
23.02.2020;15;10;9;9
24.02.2020;9;9;6;11
25.02.2020;14;7;6;10
26.02.2020;8;7;6;7
27.02.2020;8;4;8;12
28.02.2020;9;10;4;11
29.02.2020;12;6;13;5
01.03.2020;10;8;5;8
02.03.2020;10;7;9;16
03.03.2020;7;6;5;11
04.03.2020;6;7;8;13
05.03.2020;8;4;8;9
06.03.2020;6;9;8;6
07.03.2020;6;8;13;10
08.03.2020;5;10;6;6
09.03.2020;5;4;14;6
10.03.2020;6;10;10;6
11.03.2020;12;6;9;6
12.03.2020;10;4;12;10
13.03.2020;6;12;14;4
14.03.2020;12;7;7;8
15.03.2020;8;3;11;7
16.03.2020;8;10;4;10
17.03.2020;6;7;8;8
18.03.2020;10;7;10;11
19.03.2020;4;13;7;10
20.03.2020;8;7;5;10
21.03.2020;5;18;6;12
22.03.2020;5;13;5;14
23.03.2020;12;11;6;11
24.03.2020;12;6;9;13
25.03.2020;7;3;7;14
26.03.2020;3;4;9;9
27.03.2020;10;7;8;7
28.03.2020;8;8;9;12
29.03.2020;5;14;6;5
30.03.2020;5;6;5;6
31.03.2020;9;8;3;6
01.04.2020;4;5;12;9
02.04.2020;5;6;6;12
03.04.2020;1;12;11;8
04.04.2020;5;4;9;13
05.04.2020;6;7;4;11
06.04.2020;2;2;4;13
07.04.2020;6;8;7;9
08.04.2020;8;6;5;6
09.04.2020;7;8;4;8
10.04.2020;4;5;2;7
11.04.2020;12;11;4;6
12.04.2020;7;3;4;6
13.04.2020;6;5;8;7
14.04.2020;8;9;11;8
15.04.2020;5;7;11;12
16.04.2020;4;5;11;6
17.04.2020;12;15;5;10
18.04.2020;4;9;8;9
19.04.2020;9;5;9;7
20.04.2020;4;6;6;6
21.04.2020;10;5;5;12
22.04.2020;11;7;5;9
23.04.2020;6;7;15;13
24.04.2020;8;7;12;14
25.04.2020;8;9;6;8
26.04.2020;10;4;6;2
27.04.2020;4;4;7;8
28.04.2020;8;11;5;6
29.04.2020;4;3;6;6
30.04.2020;6;7;9;10
01.05.2020;14;3;6;8
02.05.2020;10;4;8;4
03.05.2020;5;6;8;6
04.05.2020;8;6;6;4
05.05.2020;2;10;7;12
06.05.2020;8;11;8;10
07.05.2020;7;5;10;7
08.05.2020;4;4;5;9
09.05.2020;10;5;5;6
10.05.2020;8;5;8;7
11.05.2020;7;6;1;12
12.05.2020;5;3;13;10
13.05.2020;11;10;7;9
14.05.2020;4;7;4;6
15.05.2020;6;8;9;7
16.05.2020;8;5;11;16
17.05.2020;7;9;15;8
18.05.2020;4;4;8;7
19.05.2020;5;6;9;8
20.05.2020;10;7;9;17
21.05.2020;5;5;10;7
22.05.2020;8;8;9;10
23.05.2020;8;5;14;11
24.05.2020;8;7;4;7
25.05.2020;6;8;12;3
26.05.2020;8;6;6;6
27.05.2020;11;10;10;12
28.05.2020;5;3;6;9
29.05.2020;8;6;10;8
30.05.2020;10;6;7;15
31.05.2020;9;6;8;6
01.06.2020;9;3;8;8
02.06.2020;6;3;9;8
03.06.2020;6;5;4;8
04.06.2020;5;6;3;7
05.06.2020;4;5;9;10
06.06.2020;5;6;7;10
07.06.2020;6;9;16;5
08.06.2020;6;5;9;12
09.06.2020;4;2;5;5
10.06.2020;10;7;7;8
11.06.2020;5;10;8;8
12.06.2020;6;2;6;3
13.06.2020;8;7;9;7
14.06.2020;5;7;8;7
15.06.2020;6;7;10;7
16.06.2020;5;8;8;6
17.06.2020;5;7;6;5
18.06.2020;7;13;5;5
19.06.2020;6;10;10;5
20.06.2020;5;9;6;9
21.06.2020;7;10;5;6
22.06.2020;2;10;12;11
23.06.2020;5;14;12;5
24.06.2020;8;5;9;3
25.06.2020;4;6;9;6
26.06.2020;6;3;12;9
27.06.2020;3;1;8;4
28.06.2020;8;9;10;8
29.06.2020;7;13;5;8
30.06.2020;7;4;14;12
01.07.2020;6;9;13;11
02.07.2020;12;6;8;7
03.07.2020;6;4;8;4
04.07.2020;7;15;8;9
05.07.2020;10;10;6;10
06.07.2020;10;4;7;11
07.07.2020;4;12;4;9
08.07.2020;9;4;3;7
09.07.2020;10;11;11;9
10.07.2020;13;8;8;7
11.07.2020;10;7;5;11
12.07.2020;5;;9;8
13.07.2020;8;6;8;12
14.07.2020;11;3;3;8
15.07.2020;5;8;12;6
16.07.2020;7;2;6;10
17.07.2020;5;8;6;6
18.07.2020;7;3;5;5
19.07.2020;3;4;6;5
20.07.2020;9;8;6;11
21.07.2020;9;7;8;9
22.07.2020;8;7;11;12
23.07.2020;6;7;8;9
24.07.2020;7;11;7;9
25.07.2020;8;3;2;8
26.07.2020;4;8;5;5
27.07.2020;5;7;6;10
28.07.2020;2;10;9;3
29.07.2020;5;9;10;12
30.07.2020;7;18;7;12
31.07.2020;4;8;6;9
01.08.2020;6;5;7;9
02.08.2020;4;6;7;10
03.08.2020;9;11;12;19
04.08.2020;4;5;11;8
05.08.2020;2;5;10;12
06.08.2020;6;3;9;11
07.08.2020;5;4;6;9
08.08.2020;12;7;7;6
09.08.2020;8;3;9;11
10.08.2020;7;3;7;11
11.08.2020;4;6;12;12
12.08.2020;7;10;7;18
13.08.2020;7;6;12;14
14.08.2020;4;10;10;11
15.08.2020;5;9;6;8
16.08.2020;8;8;8;9
17.08.2020;4;6;10;9
18.08.2020;2;9;3;16
19.08.2020;4;7;7;10
20.08.2020;5;2;14;13
21.08.2020;6;6;6;5
22.08.2020;8;13;8;7
23.08.2020;6;10;7;16
24.08.2020;7;12;13;8
25.08.2020;12;10;7;11
26.08.2020;4;4;8;7
27.08.2020;7;7;8;10
28.08.2020;4;11;7;9
29.08.2020;2;7;8;10
30.08.2020;8;8;5;9
31.08.2020;7;5;6;6
01.09.2020;8;8;9;8
02.09.2020;7;8;8;13
03.09.2020;14;4;8;10
04.09.2020;5;4;10;13
05.09.2020;4;11;6;13
06.09.2020;5;6;4;12
07.09.2020;8;8;5;13
08.09.2020;8;6;7;13
09.09.2020;2;9;8;11
10.09.2020;3;4;10;6
11.09.2020;6;5;8;11
12.09.2020;6;9;12;13
13.09.2020;8;5;7;10
14.09.2020;6;5;7;16
15.09.2020;5;11;7;10
16.09.2020;8;6;12;7
17.09.2020;7;5;4;14
18.09.2020;6;10;11;13
19.09.2020;2;5;4;10
20.09.2020;5;3;6;10
21.09.2020;11;10;7;10
22.09.2020;11;11;10;10
23.09.2020;7;7;13;16
24.09.2020;4;8;9;7
25.09.2020;11;7;10;11
26.09.2020;7;2;10;6
27.09.2020;14;12;11;10
28.09.2020;4;6;6;8
29.09.2020;6;6;7;10
30.09.2020;9;6;12;10
01.10.2020;7;15;6;11
02.10.2020;7;8;16;11
03.10.2020;5;7;9;10
04.10.2020;1;6;8;13
05.10.2020;6;7;12;13
06.10.2020;11;10;11;8
07.10.2020;7;8;6;12
08.10.2020;5;10;5;12
09.10.2020;4;2;11;15
10.10.2020;7;3;7;8
11.10.2020;8;10;11;11
12.10.2020;6;3;5;11
13.10.2020;8;11;7;12
14.10.2020;4;8;5;8
15.10.2020;8;5;6;12
16.10.2020;8;5;11;10
17.10.2020;7;11;6;7
18.10.2020;9;5;4;11
19.10.2020;3;5;10;11
20.10.2020;9;7;4;13
21.10.2020;7;8;6;13
22.10.2020;5;3;3;10
23.10.2020;7;8;8;12
24.10.2020;13;5;7;8
25.10.2020;7;10;11;17
26.10.2020;7;12;7;4
27.10.2020;10;5;7;10
28.10.2020;3;7;7;11
29.10.2020;5;13;9;8
30.10.2020;6;6;11;9
31.10.2020;6;6;8;13
01.11.2020;9;10;10;9
02.11.2020;6;10;7;11
03.11.2020;8;8;3;12
04.11.2020;7;8;7;14
05.11.2020;8;4;7;5
06.11.2020;7;11;6;13
07.11.2020;2;12;13;17
08.11.2020;7;6;8;9
09.11.2020;5;11;6;9
10.11.2020;6;12;3;16
11.11.2020;13;18;10;15
12.11.2020;8;7;12;12
13.11.2020;7;13;7;12
14.11.2020;8;12;8;23
15.11.2020;3;12;8;15
16.11.2020;9;13;8;22
17.11.2020;8;11;13;17
18.11.2020;7;10;12;18
19.11.2020;10;6;13;15
20.11.2020;3;8;8;23
21.11.2020;5;9;10;22
22.11.2020;9;9;12;19
23.11.2020;9;5;13;22
24.11.2020;13;6;15;20
25.11.2020;5;10;8;32
26.11.2020;5;6;15;27
27.11.2020;2;7;11;35
28.11.2020;11;8;9;41
29.11.2020;8;10;6;23
30.11.2020;8;5;9;28
01.12.2020;5;6;9;44
02.12.2020;8;10;4;38
03.12.2020;7;8;11;36
04.12.2020;12;21;10;44
05.12.2020;9;8;7;53
06.12.2020;12;9;12;31
07.12.2020;9;9;9;12
08.12.2020;9;5;11;24
09.12.2020;13;13;9;35
10.12.2020;6;9;11;45
11.12.2020;6;8;14;
12.12.2020;8;9;13;
13.12.2020;5;10;8;
14.12.2020;10;5;14;
15.12.2020;5;11;9;
16.12.2020;7;9;6;
17.12.2020;6;8;10;
18.12.2020;5;8;4;
19.12.2020;9;9;10;
20.12.2020;11;10;10;
21.12.2020;8;12;12;
22.12.2020;7;10;8;
23.12.2020;5;8;7;
24.12.2020;6;13;13;
25.12.2020;10;11;7;
26.12.2020;8;12;10;
27.12.2020;5;13;13;
28.12.2020;7;7;16;
29.12.2020;5;8;15;
30.12.2020;2;6;5;
31.12.2020;;;;
